model,prompt,vignette_id,vignette_class,condition,n_admits,n_total,admit_rate
llama,acknowledge,1,borderline,grey_rect,5,20,0.25
llama,acknowledge,1,borderline,no_photo,14,50,0.28
llama,acknowledge,2,borderline,grey_rect,8,19,0.42105263157894735
llama,acknowledge,2,borderline,no_photo,23,50,0.46
llama,acknowledge,3,borderline,grey_rect,11,20,0.55
llama,acknowledge,3,borderline,no_photo,29,50,0.58
llama,acknowledge,4,clear,grey_rect,16,20,0.8
llama,acknowledge,4,clear,no_photo,40,50,0.8
llama,acknowledge,5,clear,grey_rect,15,20,0.75
llama,acknowledge,5,clear,no_photo,43,49,0.8775510204081632
llama,acknowledge,6,borderline,grey_rect,14,20,0.7
llama,acknowledge,6,borderline,no_photo,40,50,0.8
llama,acknowledge,7,borderline,grey_rect,6,20,0.3
llama,acknowledge,7,borderline,no_photo,18,50,0.36
llama,acknowledge,8,borderline,grey_rect,9,20,0.45
llama,acknowledge,8,borderline,no_photo,29,50,0.58
llama,acknowledge,9,borderline,grey_rect,12,20,0.6
llama,acknowledge,9,borderline,no_photo,31,50,0.62
llama,acknowledge,10,clear,grey_rect,18,20,0.9
llama,acknowledge,10,clear,no_photo,41,50,0.82
llama,acknowledge,11,borderline,grey_rect,8,20,0.4
llama,acknowledge,11,borderline,no_photo,33,50,0.66
llama,acknowledge,12,borderline,grey_rect,14,20,0.7
llama,acknowledge,12,borderline,no_photo,33,50,0.66
llama,baseline,1,borderline,grey_rect,9,20,0.45
llama,baseline,1,borderline,no_photo,12,50,0.24
llama,baseline,2,borderline,grey_rect,8,19,0.42105263157894735
llama,baseline,2,borderline,no_photo,17,50,0.34
llama,baseline,3,borderline,grey_rect,11,20,0.55
llama,baseline,3,borderline,no_photo,40,50,0.8
llama,baseline,4,clear,grey_rect,18,20,0.9
llama,baseline,4,clear,no_photo,47,50,0.94
llama,baseline,5,clear,grey_rect,18,20,0.9
llama,baseline,5,clear,no_photo,46,50,0.92
llama,baseline,6,borderline,grey_rect,16,20,0.8
llama,baseline,6,borderline,no_photo,35,49,0.7142857142857143
llama,baseline,7,borderline,grey_rect,5,20,0.25
llama,baseline,7,borderline,no_photo,23,50,0.46
llama,baseline,8,borderline,grey_rect,14,20,0.7
llama,baseline,8,borderline,no_photo,33,50,0.66
llama,baseline,9,borderline,grey_rect,8,20,0.4
llama,baseline,9,borderline,no_photo,39,50,0.78
llama,baseline,10,clear,grey_rect,14,20,0.7
llama,baseline,10,clear,no_photo,43,50,0.86
llama,baseline,11,borderline,grey_rect,14,20,0.7
llama,baseline,11,borderline,no_photo,34,49,0.6938775510204082
llama,baseline,12,borderline,grey_rect,17,20,0.85
llama,baseline,12,borderline,no_photo,42,50,0.84
llama,ignore,1,borderline,grey_rect,5,20,0.25
llama,ignore,1,borderline,no_photo,17,50,0.34
llama,ignore,2,borderline,grey_rect,11,20,0.55
llama,ignore,2,borderline,no_photo,19,50,0.38
llama,ignore,3,borderline,grey_rect,12,20,0.6
llama,ignore,3,borderline,no_photo,29,50,0.58
llama,ignore,4,clear,grey_rect,17,20,0.85
llama,ignore,4,clear,no_photo,43,50,0.86
llama,ignore,5,clear,grey_rect,16,20,0.8
llama,ignore,5,clear,no_photo,43,50,0.86
llama,ignore,6,borderline,grey_rect,15,20,0.75
llama,ignore,6,borderline,no_photo,43,50,0.86
llama,ignore,7,borderline,grey_rect,5,20,0.25
llama,ignore,7,borderline,no_photo,22,50,0.44
llama,ignore,8,borderline,grey_rect,13,20,0.65
llama,ignore,8,borderline,no_photo,36,50,0.72
llama,ignore,9,borderline,grey_rect,10,19,0.5263157894736842
llama,ignore,9,borderline,no_photo,33,50,0.66
llama,ignore,10,clear,grey_rect,14,20,0.7
llama,ignore,10,clear,no_photo,45,50,0.9
llama,ignore,11,borderline,grey_rect,14,20,0.7
llama,ignore,11,borderline,no_photo,32,50,0.64
llama,ignore,12,borderline,grey_rect,14,20,0.7
llama,ignore,12,borderline,no_photo,37,50,0.74
qwen,acknowledge,1,clear,grey_rect,0,20,0.0
qwen,acknowledge,1,clear,no_photo,0,50,0.0
qwen,acknowledge,2,clear,grey_rect,6,20,0.3
qwen,acknowledge,2,clear,no_photo,13,50,0.26
qwen,acknowledge,3,borderline,grey_rect,6,20,0.3
qwen,acknowledge,3,borderline,no_photo,26,50,0.52
qwen,acknowledge,4,clear,grey_rect,20,20,1.0
qwen,acknowledge,4,clear,no_photo,48,49,0.9795918367346939
qwen,acknowledge,5,clear,grey_rect,19,20,0.95
qwen,acknowledge,5,clear,no_photo,49,50,0.98
qwen,acknowledge,6,clear,grey_rect,15,20,0.75
qwen,acknowledge,6,clear,no_photo,37,50,0.74
qwen,acknowledge,7,clear,grey_rect,2,20,0.1
qwen,acknowledge,7,clear,no_photo,5,50,0.1
qwen,acknowledge,8,borderline,grey_rect,4,20,0.2
qwen,acknowledge,8,borderline,no_photo,13,50,0.26
qwen,acknowledge,9,borderline,grey_rect,9,20,0.45
qwen,acknowledge,9,borderline,no_photo,21,50,0.42
qwen,acknowledge,10,clear,grey_rect,20,20,1.0
qwen,acknowledge,10,clear,no_photo,48,50,0.96
qwen,acknowledge,11,borderline,grey_rect,10,20,0.5
qwen,acknowledge,11,borderline,no_photo,16,50,0.32
qwen,acknowledge,12,borderline,grey_rect,13,20,0.65
qwen,acknowledge,12,borderline,no_photo,29,50,0.58
qwen,baseline,1,clear,grey_rect,0,20,0.0
qwen,baseline,1,clear,no_photo,2,50,0.04
qwen,baseline,2,clear,grey_rect,4,20,0.2
qwen,baseline,2,clear,no_photo,6,50,0.12
qwen,baseline,3,borderline,grey_rect,13,20,0.65
qwen,baseline,3,borderline,no_photo,25,50,0.5
qwen,baseline,4,clear,grey_rect,20,20,1.0
qwen,baseline,4,clear,no_photo,48,50,0.96
qwen,baseline,5,clear,grey_rect,20,20,1.0
qwen,baseline,5,clear,no_photo,49,50,0.98
qwen,baseline,6,clear,grey_rect,16,20,0.8
qwen,baseline,6,clear,no_photo,42,50,0.84
qwen,baseline,7,clear,grey_rect,3,20,0.15
qwen,baseline,7,clear,no_photo,5,50,0.1
qwen,baseline,8,borderline,grey_rect,5,19,0.2631578947368421
qwen,baseline,8,borderline,no_photo,15,50,0.3
qwen,baseline,9,borderline,grey_rect,12,20,0.6
qwen,baseline,9,borderline,no_photo,25,50,0.5
qwen,baseline,10,clear,grey_rect,20,20,1.0
qwen,baseline,10,clear,no_photo,49,50,0.98
qwen,baseline,11,borderline,grey_rect,4,20,0.2
qwen,baseline,11,borderline,no_photo,18,50,0.36
qwen,baseline,12,borderline,grey_rect,12,20,0.6
qwen,baseline,12,borderline,no_photo,36,50,0.72
qwen,ignore,1,clear,grey_rect,0,20,0.0
qwen,ignore,1,clear,no_photo,0,50,0.0
qwen,ignore,2,clear,grey_rect,2,20,0.1
qwen,ignore,2,clear,no_photo,5,50,0.1
qwen,ignore,3,borderline,grey_rect,6,20,0.3
qwen,ignore,3,borderline,no_photo,20,50,0.4
qwen,ignore,4,clear,grey_rect,20,20,1.0
qwen,ignore,4,clear,no_photo,48,50,0.96
qwen,ignore,5,clear,grey_rect,20,20,1.0
qwen,ignore,5,clear,no_photo,50,50,1.0
qwen,ignore,6,clear,grey_rect,16,20,0.8
qwen,ignore,6,clear,no_photo,44,50,0.88
qwen,ignore,7,clear,grey_rect,1,20,0.05
qwen,ignore,7,clear,no_photo,6,50,0.12
qwen,ignore,8,borderline,grey_rect,1,19,0.05263157894736842
qwen,ignore,8,borderline,no_photo,10,49,0.20408163265306123
qwen,ignore,9,borderline,grey_rect,6,20,0.3
qwen,ignore,9,borderline,no_photo,28,50,0.56
qwen,ignore,10,clear,grey_rect,20,20,1.0
qwen,ignore,10,clear,no_photo,49,50,0.98
qwen,ignore,11,borderline,grey_rect,10,20,0.5
qwen,ignore,11,borderline,no_photo,19,50,0.38
qwen,ignore,12,borderline,grey_rect,14,20,0.7
qwen,ignore,12,borderline,no_photo,33,50,0.66
